"OA11CD,OAC11CD,OAC11NM,LSOA11CD,LSOA11NM,SOAC11CD,SOAC11NM,MSOA11CD,MSOA11NM,LAD17CD,LAD17NM,LACCD,LACNM,RGN11CD,RGN11NM,CTRY11CD,CTRY11NM,FID"
"E00070969,1c2,Renting Rural Retirement,E01014056,Herefordshire 006E,2c,Remoter communities,E02002910,Herefordshire 006,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11033"
"E00070957,1b3,Ageing Rural Flat Tenants,E01014053,Herefordshire 023E,2a,Ageing rural neighbourhoods,E02002927,Herefordshire 023,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11034"
"E00070994,1c2,Renting Rural Retirement,E01014060,Herefordshire 021C,2c,Remoter communities,E02002925,Herefordshire 021,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11035"
"E00071079,8a1,Industrious Transitions,E01014077,Herefordshire 013C,5e,Primary sector workers,E02002917,Herefordshire 013,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11036"
"E00070703,6a2,Comfortable Suburbia,E01014007,Herefordshire 011C,2a,Ageing rural neighbourhoods,E02002915,Herefordshire 011,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11037"
"E00071100,8c2,Ageing Rural Industry Workers,E01014079,Herefordshire 016C,2d,Rural traits,E02002920,Herefordshire 016,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11038"
"E00071039,1c2,Renting Rural Retirement,E01014069,Herefordshire 021D,5e,Primary sector workers,E02002925,Herefordshire 021,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11039"
"E00070963,1b3,Ageing Rural Flat Tenants,E01014054,Herefordshire 018D,2c,Remoter communities,E02002922,Herefordshire 018,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11040"
"E00071084,8a1,Industrious Transitions,E01014075,Herefordshire 013A,5a,Ageing urban communities,E02002917,Herefordshire 013,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11041"
"E00071205,1c2,Renting Rural Retirement,E01014099,Herefordshire 021F,2c,Remoter communities,E02002925,Herefordshire 021,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11042"
"E00071114,8c2,Ageing Rural Industry Workers,E01014085,Herefordshire 010C,5e,Primary sector workers,E02002914,Herefordshire 010,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11043"
"E00071109,8a1,Industrious Transitions,E01014082,Herefordshire 008D,2a,Ageing rural neighbourhoods,E02002912,Herefordshire 008,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11044"
"E00070796,6a2,Comfortable Suburbia,E01014022,Herefordshire 008A,2b,Prospering countryside life,E02002912,Herefordshire 008,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11045"
"E00070893,7d3,Retired Communal City Dwellers,E01014035,Herefordshire 019A,5e,Primary sector workers,E02002923,Herefordshire 019,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11046"
"E00071129,8c2,Ageing Rural Industry Workers,E01014088,Herefordshire 010E,5e,Primary sector workers,E02002914,Herefordshire 010,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11047"
"E00071113,8a1,Industrious Transitions,E01014089,Herefordshire 010F,5e,Primary sector workers,E02002914,Herefordshire 010,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11048"
"E00070589,5b2,Communal Retirement,E01013987,Herefordshire 011A,5a,Ageing urban communities,E02002915,Herefordshire 011,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11049"
"E00071047,7d2,Retired Independent City Dwellers,E01014074,Herefordshire 015E,4b,Constrained renters,E02002919,Herefordshire 015,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11050"
"E00071133,8c2,Ageing Rural Industry Workers,E01014089,Herefordshire 010F,5e,Primary sector workers,E02002914,Herefordshire 010,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11051"
"E00071204,8a1,Industrious Transitions,E01014098,Herefordshire 021E,2d,Rural traits,E02002925,Herefordshire 021,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11052"
"E00168516,8a1,Industrious Transitions,E01014003,Herefordshire 005D,2d,Rural traits,E02002909,Herefordshire 005,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11053"
"E00168527,8a1,Industrious Transitions,E01014070,Herefordshire 015B,5e,Primary sector workers,E02002919,Herefordshire 015,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11054"
"E00168528,8a1,Industrious Transitions,E01014072,Herefordshire 015C,5e,Primary sector workers,E02002919,Herefordshire 015,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11055"
"E00070727,2c1,Migrant Families,E01014010,Herefordshire 012C,1a,Cosmopolitan student neighbourhoods,E02002916,Herefordshire 012,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11056"
"E00070650,7a3,Multi-Ethnic Hardship,E01013993,Herefordshire 017B,4a,Challenged white communities,E02002921,Herefordshire 017,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11057"
"E00070606,6b1,Multi-Ethnic Suburbia,E01013987,Herefordshire 011A,5a,Ageing urban communities,E02002915,Herefordshire 011,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11058"
"E00070609,1a4,Older Farming Communities,E01013990,Herefordshire 018A,2a,Ageing rural neighbourhoods,E02002922,Herefordshire 018,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11059"
"E00070658,1a4,Older Farming Communities,E01013998,Herefordshire 001A,2c,Remoter communities,E02002905,Herefordshire 001,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11060"
"E00070665,1a4,Older Farming Communities,E01014000,Herefordshire 005A,2c,Remoter communities,E02002909,Herefordshire 005,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11061"
"E00070702,1a4,Older Farming Communities,E01014007,Herefordshire 011C,2a,Ageing rural neighbourhoods,E02002915,Herefordshire 011,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11062"
"E00070705,1a4,Older Farming Communities,E01014007,Herefordshire 011C,2a,Ageing rural neighbourhoods,E02002915,Herefordshire 011,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11063"
"E00070708,1a4,Older Farming Communities,E01014009,Herefordshire 006B,2c,Remoter communities,E02002910,Herefordshire 006,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11064"
"E00070731,1a4,Older Farming Communities,E01014012,Herefordshire 007B,2a,Ageing rural neighbourhoods,E02002911,Herefordshire 007,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11065"
"E00070766,1a4,Older Farming Communities,E01014016,Herefordshire 007D,2d,Rural traits,E02002911,Herefordshire 007,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11066"
"E00070973,1b3,Ageing Rural Flat Tenants,E01014055,Herefordshire 004E,2c,Remoter communities,E02002908,Herefordshire 004,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11067"
"E00070803,1a4,Older Farming Communities,E01014025,Herefordshire 004D,2c,Remoter communities,E02002908,Herefordshire 004,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11068"
"E00070828,1a4,Older Farming Communities,E01014028,Herefordshire 009B,2a,Ageing rural neighbourhoods,E02002913,Herefordshire 009,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11069"
"E00070841,1a4,Older Farming Communities,E01014032,Herefordshire 023B,2a,Ageing rural neighbourhoods,E02002927,Herefordshire 023,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11070"
"E00070908,1a4,Older Farming Communities,E01014043,Herefordshire 002C,2d,Rural traits,E02002906,Herefordshire 002,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11071"
"E00070953,1a4,Older Farming Communities,E01014052,Herefordshire 001C,2c,Remoter communities,E02002905,Herefordshire 001,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11072"
"E00070984,1a4,Older Farming Communities,E01014058,Herefordshire 023G,2c,Remoter communities,E02002927,Herefordshire 023,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11073"
"E00070996,1a4,Older Farming Communities,E01014060,Herefordshire 021C,2c,Remoter communities,E02002925,Herefordshire 021,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11074"
"E00071021,1a4,Older Farming Communities,E01014067,Herefordshire 022G,8b,Ageing suburbanites,E02002926,Herefordshire 022,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11075"
"E00071073,1a4,Older Farming Communities,E01014077,Herefordshire 013C,5e,Primary sector workers,E02002917,Herefordshire 013,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11076"
"E00071096,1a4,Older Farming Communities,E01014080,Herefordshire 016D,2d,Rural traits,E02002920,Herefordshire 016,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11077"
"E00071103,1a4,Older Farming Communities,E01014082,Herefordshire 008D,2a,Ageing rural neighbourhoods,E02002912,Herefordshire 008,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11078"
"E00071149,1a4,Older Farming Communities,E01014083,Herefordshire 010A,2d,Rural traits,E02002914,Herefordshire 010,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11079"
"E00071216,1a4,Older Farming Communities,E01014100,Herefordshire 007E,2c,Remoter communities,E02002911,Herefordshire 007,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11080"
"E00071004,6b4,Older Workers and Retirement,E01014061,Herefordshire 022A,2a,Ageing rural neighbourhoods,E02002926,Herefordshire 022,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11081"
"E00071116,6b4,Older Workers and Retirement,E01014083,Herefordshire 010A,2d,Rural traits,E02002914,Herefordshire 010,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11082"
"E00070617,1c1,Rural Employment and Retirees,E01013991,Herefordshire 018B,2d,Rural traits,E02002922,Herefordshire 018,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11083"
"E00070656,1c1,Rural Employment and Retirees,E01013999,Herefordshire 004A,2a,Ageing rural neighbourhoods,E02002908,Herefordshire 004,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11084"
"E00070691,1c1,Rural Employment and Retirees,E01014003,Herefordshire 005D,2d,Rural traits,E02002909,Herefordshire 005,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11085"
"E00070694,1c1,Rural Employment and Retirees,E01014004,Herefordshire 005E,2c,Remoter communities,E02002909,Herefordshire 005,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11086"
"E00070794,1c1,Rural Employment and Retirees,E01014022,Herefordshire 008A,2b,Prospering countryside life,E02002912,Herefordshire 008,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11087"
"E00070806,1c1,Rural Employment and Retirees,E01014025,Herefordshire 004D,2c,Remoter communities,E02002908,Herefordshire 004,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11088"
"E00070821,1c1,Rural Employment and Retirees,E01014027,Herefordshire 009A,2c,Remoter communities,E02002913,Herefordshire 009,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11089"
"E00070829,1c1,Rural Employment and Retirees,E01014028,Herefordshire 009B,2a,Ageing rural neighbourhoods,E02002913,Herefordshire 009,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11090"
"E00071137,8c2,Ageing Rural Industry Workers,E01014089,Herefordshire 010F,5e,Primary sector workers,E02002914,Herefordshire 010,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11091"
"E00071141,8c2,Ageing Rural Industry Workers,E01014084,Herefordshire 010B,5e,Primary sector workers,E02002914,Herefordshire 010,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11092"
"E00070836,1c1,Rural Employment and Retirees,E01014028,Herefordshire 009B,2a,Ageing rural neighbourhoods,E02002913,Herefordshire 009,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11093"
"E00071143,8c2,Ageing Rural Industry Workers,E01014085,Herefordshire 010C,5e,Primary sector workers,E02002914,Herefordshire 010,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11094"
"E00070590,5b2,Communal Retirement,E01013988,Herefordshire 011B,5a,Ageing urban communities,E02002915,Herefordshire 011,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11095"
"E00070592,5b2,Communal Retirement,E01013988,Herefordshire 011B,5a,Ageing urban communities,E02002915,Herefordshire 011,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11096"
"E00070676,5b2,Communal Retirement,E01014005,Herefordshire 005F,4b,Constrained renters,E02002909,Herefordshire 005,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11097"
"E00070838,1c1,Rural Employment and Retirees,E01014027,Herefordshire 009A,2c,Remoter communities,E02002913,Herefordshire 009,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11098"
"E00070720,5b2,Communal Retirement,E01014010,Herefordshire 012C,1a,Cosmopolitan student neighbourhoods,E02002916,Herefordshire 012,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11099"
"E00071145,8c2,Ageing Rural Industry Workers,E01014085,Herefordshire 010C,5e,Primary sector workers,E02002914,Herefordshire 010,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11100"
"E00070845,1c1,Rural Employment and Retirees,E01014032,Herefordshire 023B,2a,Ageing rural neighbourhoods,E02002927,Herefordshire 023,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11101"
"E00070855,5b2,Communal Retirement,E01014033,Herefordshire 006C,2a,Ageing rural neighbourhoods,E02002910,Herefordshire 006,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11102"
"E00070872,1c1,Rural Employment and Retirees,E01014036,Herefordshire 019B,2a,Ageing rural neighbourhoods,E02002923,Herefordshire 019,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11103"
"E00070905,5b2,Communal Retirement,E01014041,Herefordshire 002A,5a,Ageing urban communities,E02002906,Herefordshire 002,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11104"
"E00070925,1c1,Rural Employment and Retirees,E01014045,Herefordshire 003A,2d,Rural traits,E02002907,Herefordshire 003,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11105"
"E00071011,5b2,Communal Retirement,E01014062,Herefordshire 022B,5e,Primary sector workers,E02002926,Herefordshire 022,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11106"
"E00070608,1a3,Agricultural Communities,E01013991,Herefordshire 018B,2d,Rural traits,E02002922,Herefordshire 018,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11107"
"E00070933,1c1,Rural Employment and Retirees,E01014049,Herefordshire 023C,2a,Ageing rural neighbourhoods,E02002927,Herefordshire 023,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11108"
"E00071031,5b2,Communal Retirement,E01014066,Herefordshire 022F,5e,Primary sector workers,E02002926,Herefordshire 022,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11109"
"E00070616,1a3,Agricultural Communities,E01013990,Herefordshire 018A,2a,Ageing rural neighbourhoods,E02002922,Herefordshire 018,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11110"
"E00070935,1c1,Rural Employment and Retirees,E01014049,Herefordshire 023C,2a,Ageing rural neighbourhoods,E02002927,Herefordshire 023,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11111"
"E00070654,1a3,Agricultural Communities,E01013999,Herefordshire 004A,2a,Ageing rural neighbourhoods,E02002908,Herefordshire 004,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11112"
"E00071032,5b2,Communal Retirement,E01014066,Herefordshire 022F,5e,Primary sector workers,E02002926,Herefordshire 022,E06000019,""Herefordshire, County of"",3a2r,Sparse English and Welsh Countryside,E12000005,West Midlands,E92000001,England,11113"
