AADFYear,CP,Estimation_method,Estimation_method_detailed,ONS GOR Name,ONS LA Name,Road,RCat,S Ref E,S Ref N,S Ref Latitude,S Ref Longitude,A-Junction,B-Junction,LenNet,LenNet_miles,FdPC,Fd2WMV,FdCar,FdBUS,FdLGV,FdHGVR2,FdHGVR3,FdHGVR4,FdHGVA3,FdHGVA5,FdHGVA6,FdHGV,FdAll_MV
"2000,510,Counted,Manual count,Wales,Monmouthshire,A40,TA,325000,216300,51.84024887,-3.090006725,LA Boundary,""Pentre Rd, Abergavenny"",4.3,2.67,0,37,5544,75,716,180,23,4,27,68,54,356,6728"
2000,512,Estimated,Estimated using previous year's AADF on this link,Wales,Powys,A40,TA,290000,229321,51.951469,-3.60199923,LA Boundary,A4067,11.5,7.15,8,84,2120,14,494,139,36,12,8,16,61,272,2984
2000,514,Estimated,Estimated using previous year's AADF on this link,Wales,Carmarthenshire,A40,TA,245000,221137,51.86721874,-4.252634039,A485,B4130,6.4,3.98,4,26,4903,109,1173,117,34,10,7,35,66,269,6480
2000,515,Estimated,Estimated using previous year's AADF on this link,Wales,Pembrokeshire,A40,TA,215000,216780,51.81894357,-4.685548935,A478,LA Boundary,6.8,4.23,3,60,6766,55,1221,364,95,38,54,138,70,759,8861
2000,516,Estimated,Estimated using previous year's AADF on this link,Wales,Pembrokeshire,A40,TA,194270,230000,51.93039276,-4.993778463,A4219,B4331,6,3.73,2,53,4537,39,601,167,41,10,32,38,15,303,5533
2000,520,Estimated,Estimated using previous year's AADF on this link,Wales,Neath Port Talbot,A48,PA,281140,185000,51.55133144,-3.715693758,M4 jn38,LA Boundary,4.6,2.86,60,128,7210,120,989,269,24,101,9,11,16,430,8877
2000,521,Estimated,Estimated using previous year's AADF on this link,Wales,The Vale of Glamorgan,A48,PA,295000,176435,51.47709918,-3.513319138,LA boundary,A4222 Gibbet's Hill,7.67,4.77,14,190,12129,98,1282,137,24,19,46,36,1,263,13962
2000,522,Counted,Manual count,Wales,Cardiff,A48,PA,312000,175000,51.46710306,-3.26824372,A4232 / A4050,A4161,4.5,2.8,46,156,17468,330,1905,322,45,33,19,29,22,470,20329
2000,524,Counted,Manual count,Wales,Conwy,A55,TA,270000,376200,53.26681479,-3.950653564,LA Boundary,A547,11.3,7.02,2,124,18918,282,2903,607,101,79,154,332,208,1481,23708
2000,525,Estimated,Estimated using previous year's AADF on this link,Wales,Conwy,A55,TA,292000,378140,53.2891857,-3.621609286,A547 Llanddulas,A548,3.9,2.42,0,217,31559,171,4256,1012,195,131,174,397,304,2213,38416
2000,526,Counted,Manual count,Wales,Denbighshire,A55,TA,310884,375740,53.27113394,-3.337743029,A525E,LA Boundary,7.4,4.6,0,73,22669,110,3310,981,132,136,225,581,271,2326,28488
2000,527,Estimated,Estimated using previous year's AADF on this link,Wales,Flintshire,A55,TA,331410,363490,53.16409453,-3.027382177,A550,A5104,2.3,1.43,1,188,22287,141,2258,942,208,361,236,572,404,2723,27597
2000,528,Estimated,Estimated using previous year's AADF on this link,Wales,Powys,A458,TA,320000,306900,52.65390547,-3.184053693,B4389 Bridge St,A490,13.9,8.64,0,20,2637,17,555,72,24,13,6,8,23,146,3375
2000,530,Estimated,Estimated using previous year's AADF on this link,Wales,Merthyr Tydfil,A465,TA,301000,207380,51.75633055,-3.435705919,B42776 Merthyr Road,Swansea Rd,1.1,0.68,3,106,14344,199,1845,843,73,91,91,174,155,1427,17921
2000,532,Estimated,Estimated using previous year's AADF on this link,Wales,Monmouthshire,A465,TA,330000,213040,51.81159316,-3.016785777,A4143  Merthyr   Road,A4042/A40,1.6,0.99,3,52,12783,118,1858,590,135,91,191,297,384,1688,16499
2000,533,Estimated,Estimated using previous year's AADF on this link,Wales,Conwy,A470,TA,280000,373060,53.24096228,-3.799615172,B5279,A547/B5381,6.8,4.23,16,38,4701,37,795,163,14,10,6,19,20,232,5803
2000,534,Estimated,Estimated using previous year's AADF on this link,Wales,Gwynedd,A470,TA,270000,340350,52.94474459,-3.936128628,A487,B4391,4.7,2.92,0,18,941,17,191,27,3,0,2,1,4,37,1204
2000,535,Estimated,Estimated using previous year's AADF on this link,Wales,Gwynedd,A470,TA,275000,318370,52.74845038,-3.853328777,A487,A494,4.4,2.73,0,41,3614,36,526,146,8,9,11,16,15,205,4422
2000,536,Counted,Manual count,Wales,Powys,A470,TA,299748,285156,52.45512624,-3.476758111,B4518,A489,11.6,7.21,0,22,3793,110,604,206,57,22,59,122,115,581,5110
2000,538,Estimated,Estimated using previous year's AADF on this link,Wales,Powys,A470,TA,311747,235000,52.00639483,-3.287121884,A438,A479,4.6,2.86,2,35,2657,17,320,112,49,22,9,21,8,221,3250
2000,539,Estimated,Estimated using previous year's AADF on this link,Wales,Powys,A470,TA,300000,215228,51.82669151,-3.45245379,LA Boundary,A4059,4.6,2.86,2,20,3473,29,486,101,33,45,15,33,57,284,4292
"2000,540,Estimated,Estimated using previous year's AADF on this link,Wales,""Rhondda, Cynon, Taff"",A470,TA,308800,195000,51.64637571,-3.319491964,A4054 spur,A4059/A472,1.2,0.75,2,219,30736,439,4442,1173,226,148,182,234,264,2227,38063"
"2000,541,Counted,Manual count,Wales,""Rhondda, Cynon, Taff"",A470,TA,312100,185000,51.55701102,-3.269301081,LA Boundary,A468/A4054,2.6,1.62,24,300,57354,485,8101,1513,273,297,314,692,402,3491,69731"
2000,542,Estimated,Estimated using previous year's AADF on this link,Wales,Carmarthenshire,A477,TA,225017,213304,51.79094944,-4.538616196,B4314,A40,9.2,5.72,0,14,5380,71,796,218,25,23,49,142,62,519,6780
"2000,544,Counted,Manual count,Wales,Carmarthenshire,A483,TA,262070,215047,51.81698234,-4.002451765,""Aberlash Rd, Ammanford"",B4556 Blaenau Rd,2,1.24,16,52,5229,70,570,192,21,9,12,27,6,267,6188"
2000,545,Estimated,Estimated using previous year's AADF on this link,Wales,Powys,A483,TA,294064,250000,52.13810805,-3.549303992,B4358,B4519,4.5,2.8,4,18,1133,16,142,99,15,8,17,52,24,215,1524
2000,546,Counted,Manual count,Wales,Powys,A483,TA,308472,263999,52.26650763,-3.34263611,A4081,A44,4.5,2.8,29,91,5393,87,760,150,27,11,17,30,10,245,6576
2000,547,Counted,Manual count,Wales,Powys,A483,TA,312830,292150,52.52023309,-3.286129961,A489,B 4389,3.9,2.42,10,138,7511,54,1110,483,97,34,73,236,126,1049,9862
2000,548,Estimated,Estimated using previous year's AADF on this link,Wales,Powys,A483,TA,324759,310000,52.68245026,-3.114426477,A458,B4393,9.1,5.65,3,28,4427,26,841,237,183,124,47,197,158,946,6268
2000,550,Counted,Manual count,Wales,Gwynedd,A487,TA,247100,355000,53.07029261,-4.283596306,B4411,A499,14.7,9.13,4,52,6228,128,1193,287,40,107,22,60,18,534,8135
2000,551,Estimated,Estimated using previous year's AADF on this link,Wales,Gwynedd,A487,TA,260000,338520,52.92578808,-4.084056268,A497,A4085,4.9,3.04,9,25,6182,78,1178,176,43,26,16,25,16,302,7765
2000,552,Counted,Manual count,Wales,Gwynedd,A487,TA,273500,310000,52.67289842,-3.872315028,A493,B4405,12.8,7.95,3,35,2392,48,260,60,8,6,7,15,7,103,2838
2000,553,Counted,Manual count,Wales,Ceredigion,A487,TA,259940,282150,52.41935711,-4.060966708,A44,Maeshendre,1.8,1.12,9,47,10027,199,952,124,28,2,5,8,2,169,11394
2000,554,Estimated,Estimated using previous year's AADF on this link,Wales,Ceredigion,A487,TA,240753,255000,52.17022253,-4.330024914,A486,B4342W,3.7,2.3,4,20,4171,69,323,163,63,25,11,28,19,309,4892
2000,556,Counted,Manual count,Wales,Powys,A489,TA,280000,303473,52.6157302,-3.773859051,A487,A470,9.5,5.9,6,36,2275,21,650,120,43,13,19,12,29,236,3218
2000,557,Counted,Manual count,Wales,Gwynedd,A494,TA,300000,340480,52.95234753,-3.48989329,A4212,LA Boundary,12.8,7.95,7,135,3071,29,455,171,33,21,24,41,34,324,4014
2000,558,Estimated,Estimated using previous year's AADF on this link,Wales,Flintshire,A494,TA,324000,362580,53.15490859,-3.137977214,A5119,A541 / A549,3,1.86,13,50,5097,30,619,197,42,44,9,38,60,390,6186
2000,559,Counted,Manual count,Wales,Flintshire,A494,TA,330000,366730,53.19302986,-3.049178761,B5125,A550,2.3,1.43,22,354,40281,180,4340,984,375,652,188,629,473,3301,48456
2000,560,Counted,Manual count,Wales,Newport,A4051,PA,330260,190000,51.60450207,-3.008397561,M4 Jct 26,LA Boundary,2.4,1.49,28,163,33541,720,3656,577,87,50,94,183,78,1069,39149
2000,563,Estimated,Estimated using previous year's AADF on this link,Wales,Monmouthshire,A466,PA,352000,211830,51.80304161,-2.697529014,A4136,LA Boundary,3.6,2.24,9,45,3722,50,560,100,5,5,8,5,4,127,4504
2000,564,Estimated,Estimated using previous year's AADF on this link,Wales,Blaenau Gwent,A467,PA,322120,200000,51.69332843,-3.128140741,LA Boundary,A4046,2.9,1.8,0,83,9679,85,1490,330,38,95,57,119,117,756,12093
2000,569,Counted,Manual count,Wales,Torfaen,A472,PA,328550,200450,51.69823038,-3.035223101,A4043,A4042,1.4,0.87,1,190,20494,280,2448,704,52,59,49,97,68,1029,24441
"2000,571,Estimated,Estimated using previous year's AADF on this link,Wales,""Rhondda, Cynon, Taff"",A473,PA,300070,182790,51.53514112,-3.442142896,LA Boundary,Coedcae Lane roundabout,5.8,3.6,41,120,6938,122,799,275,42,23,34,17,19,410,8389"
2000,574,Estimated,Estimated using previous year's AADF on this link,Wales,Ceredigion,A475,PA,240000,242650,52.05906426,-4.33521816,A486,B4338N,12.2,7.58,0,21,976,12,290,23,9,2,3,0,0,37,1336
2000,575,Counted,Manual count,Wales,Carmarthenshire,A476,PA,254818,211900,51.78686877,-4.106268025,B4310 Heol-y-Bryn,A48,2.5,1.55,3,25,4832,110,651,94,8,3,3,1,0,109,5727
2000,576,Estimated,Estimated using previous year's AADF on this link,Wales,Pembrokeshire,A478,PA,211794,214972,51.80163545,-4.731025509,A4115,A40(T),6.2,3.85,18,44,2973,54,546,116,25,6,8,5,7,167,3784
2000,577,Estimated,Estimated using previous year's AADF on this link,Wales,Pembrokeshire,A478,PA,213000,201080,51.67727577,-4.70608638,A4139 White Lion St,A4218 Serpentine Rd,1.2,0.75,43,25,2952,73,471,33,2,0,0,0,0,35,3556
2000,578,Counted,Manual count,Wales,Ceredigion,A482,PA,247485,260000,52.21704305,-4.233920027,A485 Lampeter,A487 Aberaeron,20.4,12.68,5,16,2048,63,307,80,13,4,4,53,24,178,2612
2000,579,Estimated,Estimated using previous year's AADF on this link,Wales,Carmarthenshire,A484,PA,230000,241069,52.04188405,-4.48015051,LA Boundary,A475E,4.2,2.61,10,36,3023,64,532,144,39,12,10,14,1,220,3875
2000,581,Counted,Manual count,Wales,Carmarthenshire,A484,PA,251270,200770,51.68593618,-4.152908667,A476,A4138,1.9,1.18,74,121,18943,358,1676,291,20,23,44,33,10,421,21519
"2000,582,Estimated,Estimated using previous year's AADF on this link,Wales,Ceredigion,A485,PA,260000,252250,52.15073672,-4.047656781,482 Lampeter,""B4343 Crossroads, Tregaron"",16.7,10.38,4,4,1657,31,358,68,9,5,5,3,5,95,2145"
2000,583,Estimated,Estimated using previous year's AADF on this link,Wales,Carmarthenshire,A486,PA,240000,239850,52.03391144,-4.333906661,A484,LA Boundary,4.9,3.04,5,7,1993,41,373,62,8,2,6,7,4,89,2503
2000,584,Estimated,Estimated using previous year's AADF on this link,Wales,Powys,A488,PA,324200,269958,52.32246636,-3.113559095,B4536 N,A4113,7.3,4.54,5,6,754,9,310,35,9,10,8,8,3,73,1152
2000,586,Estimated,Estimated using previous year's AADF on this link,Wales,Gwynedd,A493,PA,270000,318530,52.74870755,-3.927423028,C-road to Pen-y-Bryn,A470,2.2,1.37,10,17,1893,20,360,35,8,6,2,0,0,51,2341
2000,587,Estimated,Estimated using previous year's AADF on this link,Wales,Powys,A495,PA,310088,309245,52.67342593,-3.331179838,A458,A490,14.5,9.01,3,5,486,3,158,15,9,4,2,9,1,40,692
2000,588,Estimated,Estimated using previous year's AADF on this link,Wales,Gwynedd,A496,PA,265900,340000,52.94059077,-3.996960802,C-road Bryn Glas/Cilfor,A487,6.2,3.85,15,7,945,26,137,57,7,4,2,5,0,75,1190
"2000,589,Counted,Manual count,Wales,Gwynedd,A496,PA,270000,319460,52.75706308,-3.927792018,""A496 Jubilee Rd, Barmouth (Abermaw)"",A470,12.5,7.77,6,25,2062,59,339,107,9,5,8,4,1,134,2619"
2000,590,Estimated,Estimated using previous year's AADF on this link,Wales,Gwynedd,A497,PA,237050,335000,52.88769818,-4.423379386,A499,A499,1.6,0.99,52,27,9039,114,1273,155,29,19,5,11,1,220,10673
"2000,592,Counted,Manual count,Wales,Gwynedd,A499,PA,231830,330000,52.84118646,-4.498302727,""Lon Sarn Bach, Abersoch"",""B4413, Llanbedrog"",4.6,2.86,1,20,2395,13,433,73,4,1,5,0,0,83,2944"
2000,594,Estimated,Estimated using previous year's AADF on this link,Wales,Denbighshire,A525,PA,305230,370570,53.22369499,-3.42095579,A541,A543N,3.5,2.17,17,97,7869,111,1177,206,55,27,13,34,28,363,9617
2000,595,Counted,Manual count,Wales,Denbighshire,A525,PA,320687,351854,53.05802953,-3.184856124,A5104,LA Boundary,5.3,3.29,13,32,2932,20,470,85,17,17,21,21,18,179,3633
2000,599,Estimated,Estimated using previous year's AADF on this link,Wales,Wrexham,A539,PA,327913,343138,52.980719,-3.07511132,B5434,B5605,3.3,2.05,19,42,6771,174,892,181,23,5,11,36,27,283,8162
2000,600,Estimated,Estimated using previous year's AADF on this link,Wales,Flintshire,A541,PA,325000,363600,53.16421749,-3.123265498,A494/A549,A5118,1.3,0.81,12,108,12066,87,1236,353,154,223,69,168,84,1051,14548
2000,602,Estimated,Estimated using previous year's AADF on this link,Wales,Denbighshire,A542,PA,318500,351360,53.05326048,-3.217354555,A525,A5104,1.2,0.75,1,16,793,6,213,45,5,2,3,2,5,62,1090
2000,604,Counted,Manual count,Wales,Denbighshire,A547,PA,306550,382000,53.3266396,-3.404554964,B5119 Waterfall Rd,PRINCES AVENUE,4.1,2.55,12,55,9418,116,993,221,20,6,6,8,3,264,10846
"2000,605,Estimated,Estimated using previous year's AADF on this link,Wales,Flintshire,A548,PA,322730,374600,53.26274943,-3.159879315,A5026,""Aber Rd, Flint"",4,2.49,22,113,13327,128,1564,359,51,40,46,93,83,672,15804"
2000,606,Counted,Manual count,Wales,Denbighshire,A548,PA,305446,383020,53.33560893,-3.421430032,A548 Bath St (Stryd Y Baddon),A547,7.1,4.41,37,68,9952,181,856,239,17,5,3,2,1,267,11324
2000,607,Estimated,Estimated using previous year's AADF on this link,Wales,Conwy,A548,PA,290000,369900,53.21473723,-3.648748424,B5382,A544,7.5,4.66,0,6,723,8,146,27,1,0,1,0,0,29,912
2000,611,Estimated,Estimated using previous year's AADF on this link,Wales,Blaenau Gwent,A4046,PA,316700,210000,51.78244018,-3.208934485,B4486  Dyffryn Road,B4486  Cemetery  Road,4.6,2.86,7,57,11093,281,784,189,45,52,36,48,32,402,12617
2000,612,Estimated,Estimated using previous year's AADF on this link,Wales,Blaenau Gwent,A4048,PA,314000,210080,51.7827503,-3.248084165,A4047  Beaufort Road,A465   Heads of  The Valleys   Road,1.4,0.87,10,38,6735,82,860,184,29,21,25,20,9,288,8003
"2000,617,Counted,Manual count,Wales,""Rhondda, Cynon, Taff"",A4058,PA,305000,191030,51.61006073,-3.37331761,A4225 Coedcae Rd,Tymawr Rd,2.3,1.43,39,126,18590,313,2446,372,47,146,42,38,39,684,22159"
"2000,619,Counted,Manual count,Wales,""Rhondda, Cynon, Taff"",A4059,PA,303430,200000,51.69042065,-3.398462917,""B4275, Mountain Ash"",""Canal Rd, Cwmbach"",3,1.86,22,137,14103,204,1876,380,39,40,46,71,76,652,16972"
"2000,620,Estimated,Estimated using previous year's AADF on this link,Wales,""Rhondda, Cynon, Taff"",A4061,PA,295000,195700,51.6502571,-3.519080259,LA Boundary/A4107,""Park Crescent, Treorchy"",4.7,2.92,14,22,1980,4,359,110,2,0,2,4,1,119,2484"
2000,621,Estimated,Estimated using previous year's AADF on this link,Wales,Bridgend,A4061,PA,290650,179800,51.50651905,-3.576974728,A473S,A4061 split,0.3,0.19,117,235,13279,316,1414,256,28,2,7,2,0,295,15539
"2000,622,Estimated,Estimated using previous year's AADF on this link,Wales,Bridgend,A4063,PA,285000,193000,51.62403252,-3.662670737,B4282 Neath Rd,""Church St, Caerau, Maesteg"",3.5,2.17,8,20,5464,194,495,207,5,6,5,4,4,231,6404"
2000,626,Estimated,Estimated using previous year's AADF on this link,Wales,Powys,A4068,PA,277048,209964,51.77480207,-3.783472291,A4067/ B4599,L Aboundary,2.9,1.8,15,74,4277,58,705,127,13,24,9,3,1,177,5291
"2000,627,Estimated,Estimated using previous year's AADF on this link,Wales,Carmarthenshire,A4069,PA,269568,228616,51.94071429,-3.898871264,""A4069 High St, Llangadog"",A40,1.6,0.99,6,31,1697,42,390,111,76,17,9,27,21,261,2421"
2000,629,Estimated,Estimated using previous year's AADF on this link,Wales,Isle of Anglesey,A4080,PA,232000,373000,53.22740099,-4.518193876,A4080 merge,A4080 split,4.6,2.86,38,17,1834,22,201,50,0,0,0,2,0,52,2126
"2000,630,Counted,Manual count,Wales,Gwynedd,A4085,PA,251700,360000,53.1165015,-4.217303858,""C-road, Croesywaun"",A487 triangle,4.6,2.86,20,24,2796,39,338,58,14,0,6,0,2,80,3277"
2000,631,Counted,Manual count,Wales,Gwynedd,A4086,PA,260000,358700,53.10706827,-4.092813794,C-road just north of Dolbadarn Castle,A498,10,6.21,14,50,1326,73,187,28,4,0,2,0,0,34,1670
"2000,633,Counted,Manual count,Wales,Bridgend,A4106,PA,285425,178727,51.49583901,-3.651878016,""Bridgend Rd roundabout, Porthcawl"",A48,3.54,2.2,7,78,9855,115,791,97,14,20,1,1,3,136,10975"
2000,638,Counted,Manual count,Wales,Cardiff,A4119,PA,317670,175500,51.47245232,-3.186754217,A4160,Tudor Street,0.8,0.5,139,43,9803,235,1469,169,17,3,7,15,6,217,11767
2000,639,Estimated,Estimated using previous year's AADF on this link,Wales,Ceredigion,A4120,PA,259291,280083,52.40062009,-4.06963346,A487 / A4120 Southgate Roundabout,A44 / A4120 Llanbadarn Fawr,1.3,0.81,4,50,9979,146,1636,275,37,23,23,44,61,463,12274
2000,640,Estimated,Estimated using previous year's AADF on this link,Wales,Pembrokeshire,A4139,PA,213120,200450,51.67165759,-4.704015597,A4218,A478,0.9,0.56,23,76,7622,132,562,51,0,2,3,0,0,56,8448
2000,641,Estimated,Estimated using previous year's AADF on this link,Wales,Pembrokeshire,A4139,PA,196993,203281,51.69148068,-4.938570068,Ferry Lane,Water St roundabout,1.6,0.99,71,39,2855,14,385,19,1,0,0,1,1,22,3315
2000,642,Estimated,Estimated using previous year's AADF on this link,Wales,Cardiff,A4160,PA,319100,176390,51.48065967,-3.166374235,A4234 Central Link,A4161 Newport Rd,0.5,0.31,103,49,12615,62,1049,37,2,23,12,3,7,84,13859
2000,644,Counted,Manual count,Wales,Gwynedd,A4212,PA,283000,340000,52.94459386,-3.742637174,B4391,A494,15.7,9.76,0,2,1089,18,153,55,11,5,13,25,11,120,1382
2000,646,Estimated,Estimated using previous year's AADF on this link,Wales,The Vale of Glamorgan,A4222,PA,302000,178950,51.50096326,-3.413257103,A4222 Eastgate/Cardiff Rd,LA Boundary,6,3.73,27,61,5437,103,528,55,5,8,8,1,0,77,6206
2000,647,Estimated,Estimated using previous year's AADF on this link,Wales,Bridgend,A4229,PA,282700,181400,51.5193033,-3.692004209,M4,A48,1.17,0.73,2,38,10977,63,1774,667,99,244,59,192,137,1398,14250
2000,648,Estimated,Estimated using previous year's AADF on this link,Wales,Neath Port Talbot,A4230,PA,276000,198820,51.67442299,-3.794682451,A474 Penywern Rd,Penscynor,1.8,1.12,53,64,5564,117,489,136,4,3,1,1,0,145,6379
2000,650,Estimated,Estimated using previous year's AADF on this link,Wales,Isle of Anglesey,A5025,PA,251830,380000,53.29617957,-4.224652741,B5109E,B5108,4.8,2.98,7,57,5659,90,809,122,16,18,1,21,6,184,6799
2000,651,Estimated,Estimated using previous year's AADF on this link,Wales,Denbighshire,A5104,PA,320000,352000,53.05923912,-3.195140534,A525,LA Boundary,5,3.11,22,67,1397,7,235,44,16,7,6,6,6,85,1791
2000,653,Estimated,Estimated using previous year's AADF on this link,Wales,Wrexham,A5152,PA,333300,350700,53.04938317,-2.996456124,A541,Chester Rd Roundabut,0.6,0.37,101,171,13262,70,1167,286,36,5,14,12,8,361,15031
2000,655,Estimated,Estimated using previous year's AADF on this link,Wales,Powys,A44,PA,325948,259000,52.22420767,-3.085507933,B4362,LA Boundary,2,1.24,2,15,2032,9,584,100,96,38,19,46,21,320,2960
2000,656,Counted,Manual count,Wales,Carmarthenshire,A48,PA,258611,204178,51.71845627,-4.048172562,M4 j49,A4138,4.2,2.61,11,100,5127,95,576,71,34,4,9,31,9,158,6056
2000,658,Counted,Manual count,Wales,Newport,A48,PA,335000,188970,51.59581032,-2.939774009,A455,Llanwern Rd,3.4,2.11,70,100,10470,253,1173,203,27,9,23,28,20,310,12306
2000,661,Estimated,Estimated using previous year's AADF on this link,Wales,Pembrokeshire,A477,TA,197703,203517,51.69385619,-4.928448929,A4139 London Rd,A4139 Ferry Lane,0.2,0.12,74,169,13134,207,2081,259,79,4,26,56,58,482,16073
2000,664,Estimated,Estimated using previous year's AADF on this link,Wales,Newport,A4042,PA,330000,185640,51.56527367,-3.011280361,A48,A4042 spur,5.1,3.17,36,85,11938,173,1792,446,83,111,99,252,218,1209,15197
2000,666,Counted,Manual count,Wales,Gwynedd,A5,TA,260000,369220,53.20156852,-4.097416731,A55,B4409,5.3,3.29,20,86,7917,71,1149,276,35,98,11,19,26,465,9688
2000,667,Estimated,Estimated using previous year's AADF on this link,Wales,Gwynedd,A4087,PA,255000,369270,53.20067687,-4.172237269,A487,A55,1.9,1.18,27,698,10654,126,1105,200,38,35,11,31,24,339,12922
2000,668,Counted,Manual count,Wales,Conwy,A547,PA,278082,377744,53.2826069,-3.830136282,A547 merge,A547 split,0.5,0.31,18,32,5513,207,580,77,1,4,4,1,0,87,6419
2000,700,Estimated,Estimated using previous year's AADF on this link,Scotland,West Lothian,M8,TM,310000,671400,55.92722007,-3.441935691,3,LA boundary,7.3,4.54,0,173,48849,580,8428,1544,280,245,548,1102,942,4661,62691
2000,701,Estimated,Estimated using previous year's AADF on this link,Scotland,Renfrewshire,M8,TM,249600,665700,55.86095168,-4.404642133,27,26,2.9,1.8,0,229,80506,930,8243,2364,646,474,1050,800,848,6182,96090
2000,702,Estimated,Estimated using previous year's AADF on this link,Scotland,Renfrewshire,M8,TM,243500,671870,55.91439321,-4.505572605,31,30,5.8,3.6,0,48,19678,226,2634,577,65,135,198,256,120,1351,23937
2000,703,Estimated,Estimated using previous year's AADF on this link,Scotland,City of Edinburgh,M9,TM,311900,675200,55.96170391,-3.412781028,1,A8000,1.9,1.18,0,104,11667,96,1794,531,121,117,288,534,559,2150,15811
2000,704,Estimated,Estimated using previous year's AADF on this link,Scotland,Falkirk,M9,TM,291490,681000,56.00961074,-3.741899778,6,A905,1.4,0.87,0,129,28596,203,4728,1375,313,268,531,1202,1051,4740,38396
2000,706,Counted,Manual count,Scotland,Perth & Kinross,M90,TM,312200,705300,56.23211108,-3.417880629,7,8,3.2,1.99,0,99,22843,254,2875,1279,215,105,296,823,400,3118,29189
2000,707,Counted,Manual count,Scotland,Fife,M90,TM,312800,689300,56.08851384,-3.402955984,3,4,5.8,3.6,0,95,23782,622,1492,1518,160,65,309,229,7,2288,28279
2000,708,Estimated,Estimated using previous year's AADF on this link,Scotland,Scottish Borders,A1,TA,380700,665530,55.8825295,-2.310084134,A6112,A1107,5.5,3.42,0,28,3301,46,658,262,44,33,104,389,371,1203,5236
2000,709,Counted,Manual count,Scotland,East Lothian,A1,TA,357200,676440,55.97902659,-2.687443746,A6093,A198,10.3,6.4,79,296,12646,581,1181,261,52,30,21,10,8,382,15086
2000,714,Estimated,Estimated using previous year's AADF on this link,Scotland,Scottish Borders,A7,PA,350000,635170,55.60755502,-2.795218071,A6091,A7 split,1.7,1.06,22,156,15707,215,1850,343,28,8,47,39,33,498,18426
2000,717,Counted,Manual count,Scotland,North Lanarkshire,A8,TA,278000,661600,55.83216249,-3.949356577,B799/B802,M8 start,1.8,1.12,0,29,43351,360,4987,2581,301,368,609,1328,700,5887,54614
"2000,720,Estimated,Estimated using previous year's AADF on this link,Scotland,Highland,A9,TA,280000,898700,57.96135883,-4.029759921,A839,""Sibell Rd, Golspie"",6.9,4.29,7,41,3109,33,619,77,39,11,34,32,30,223,4025"
